"TREE.ID","Species","Plot","CO2","N","ColID"
21019,"PITA",2,"ele","fert","O21019"
22022,"PITA",2,"ele","fert","O22022"
23003,"PITA",2,"ele","fert","O23003"
24013,"PITA",2,"ele","fert","O24013"
25009,"PITA",2,"ele","cont","O25009"
26062,"PITA",2,"ele","cont","O26062"
26063,"PITA",2,"ele","cont","O26063"
27046,"PITA",2,"ele","cont","O27046"
28044,"PITA",2,"ele","cont","O28044"
31003,"PITA",3,"ele","cont","O31003"
32007,"PITA",3,"ele","cont","O32007"
32016,"PITA",3,"ele","cont","O32016"
33006,"PITA",3,"ele","fert","O33006"
34037,"PITA",3,"ele","fert","O34037"
35005,"PITA",3,"ele","fert","O35005"
36035,"PITA",3,"ele","fert","O36035"
37006,"PITA",3,"ele","cont","O37006"
37018,"PITA",3,"ele","cont","O37018"
37048,"PITA",3,"ele","cont","O37048"
38032,"PITA",3,"ele","cont","O38032"
38035,"PITA",3,"ele","cont","O38035"
41003,"PITA",4,"ele","cont","O41003"
43003,"PITA",4,"ele","cont","O43003"
43005,"PITA",4,"ele","cont","O43005"
43012,"PITA",4,"ele","cont","O43012"
44004,"PITA",4,"ele","cont","O44004"
45015,"PITA",4,"ele","fert","O45015"
45020,"PITA",4,"ele","fert","O45020"
46003,"PITA",4,"ele","fert","O46003"
47010,"PITA",4,"ele","fert","O47010"
48005,"PITA",4,"ele","fert","O48005"
48013,"PITA",4,"ele","fert","O48013"
71001,"PITA",7,"ele","fert","O71001"
71085,"PITA",7,"ele","fert","O71085"
72014,"PITA",7,"ele","fert","O72014"
72015,"PITA",7,"ele","fert","O72015"
72017,"PITA",7,"ele","fert","O72017"
72019,"PITA",7,"ele","fert","O72019"
72020,"PITA",7,"ele","fert","O72020"
72027,"PITA",7,"ele","fert","O72027"
72031,"PITA",7,"ele","fert","O72031"
72032,"PITA",7,"ele","fert","O72032"
73037,"PITA",7,"ele","cont","O73037"
73042,"PITA",7,"ele","cont","O73042"
73043,"PITA",7,"ele","cont","O73043"
73044,"PITA",7,"ele","cont","O73044"
73047,"PITA",7,"ele","cont","O73047"
73052,"PITA",7,"ele","cont","O73052"
73054,"PITA",7,"ele","cont","O73054"
74061,"PITA",7,"ele","cont","O74061"
74064,"PITA",7,"ele","cont","O74064"
74067,"PITA",7,"ele","cont","O74067"
74068,"PITA",7,"ele","cont","O74068"
74076,"PITA",7,"ele","cont","O74076"
74077,"PITA",7,"ele","cont","O74077"
74079,"PITA",7,"ele","cont","O74079"
74081,"PITA",7,"ele","cont","O74081"
